benchmark             pass                 U       p
2dfir                 ccp                  1033.0  0.19260845857458997
2dfir                 cddce                895.0   0.03008560067580411
2dfir                 cdtor                1114.0  0.39174028256409765
2dfir                 copyprop             949.0   0.06892501906408724
2dfir                 copyrename           782.0   0.00338899904409877
2dfir                 cp                   1121.0  0.4115760288773467
2dfir                 devirt               1078.0  0.29508807338129317
2dfir                 ealias               1089.0  0.32348453275695455
2dfir                 early_optimizations  519.0   1.7870543091416307e-06
2dfir                 ehcleanup            971.0   0.09297803286995321
2dfir                 einline              946.0   0.06605567723754348
2dfir                 eipa_sra             974.0   0.09668840844574683
2dfir                 emutls               1127.0  0.4287619870972942
2dfir                 esra                 1101.0  0.3556743676032139
2dfir                 fnsplit              834.0   0.009995348051827571
2dfir                 forwprop             838.0   0.010803341349515244
2dfir                 fre                  1108.0  0.37495732950058125
2dfir                 increase_alignment   610.0   3.625262047359689e-05
2dfir                 inline               961.0   0.08137027669574703
2dfir                 inline_param         863.0   0.49831223622413545
2dfir                 local-pure-const     883.0   0.024564606589814127
2dfir                 mergephi             906.0   0.036014631238842534
2dfir                 profile              1113.0  0.3889281465988047
2dfir                 profile_estimate     814.0   0.3376700819791073
2dfir                 release_ssa          1023.0  0.17319862585772194
2dfir                 switchconv           1034.0  0.19461998586073342
2dfir                 tailr                917.0   0.04286829477437121
2dfir                 tmipa                776.0   0.0029659247824348187
2dfir                 whole-program        1002.0  0.13665305891858198
aha-compress          ccp                  1080.0  0.30016516899521956
aha-compress          cddce                869.0   0.019223577906368777
aha-compress          cdtor                1036.0  0.19868120437462633
aha-compress          copyprop             1141.0  0.4693355934311513
aha-compress          copyrename           984.0   0.10984027809875813
aha-compress          cp                   1114.0  0.39174028256409765
aha-compress          devirt               1092.0  0.3314205517703327
aha-compress          ealias               1114.0  0.39174028256409765
aha-compress          early_optimizations  578.0   1.3205248791410128e-05
aha-compress          ehcleanup            963.0   0.0835997909468496
aha-compress          einline              1052.0  0.23297050349913667
aha-compress          eipa_sra             1037.0  0.20073083645010553
aha-compress          emutls               1140.0  0.4664217795031791
aha-compress          esra                 1125.0  0.4230166142916768
aha-compress          fnsplit              819.0   0.007416378556870962
aha-compress          forwprop             834.0   0.009995348051827571
aha-compress          fre                  839.0   0.011014012185156234
aha-compress          increase_alignment   469.0   2.8500984783798495e-07
aha-compress          inline               970.0   0.09176493402774061
aha-compress          inline_param         830.0   0.38841564409051704
aha-compress          local-pure-const     797.0   0.004693277377189977
aha-compress          mergephi             929.0   0.05150874322741606
aha-compress          profile              1119.0  0.4058831659932154
aha-compress          profile_estimate     859.0   0.4848137501523542
aha-compress          release_ssa          1003.0  0.13826378006942092
aha-compress          switchconv           1013.0  0.15508229750692448
aha-compress          tailr                1063.0  0.25833234593638554
aha-compress          tmipa                828.0   0.008882304740187145
aha-compress          whole-program        974.0   0.09668840844574683
aha-mont64            ccp                  47.0    2.9018810500635293e-16
aha-mont64            cddce                1011.0  0.15161487930499873
aha-mont64            cdtor                1138.0  0.46059970279355245
aha-mont64            copyprop             1057.0  0.24432393055623913
aha-mont64            copyrename           1005.0  0.14152392122197188
aha-mont64            cp                   1101.0  0.3556743676032139
aha-mont64            devirt               1151.0  0.4985383526044901
aha-mont64            ealias               1064.0  0.26070689721295576
aha-mont64            early_optimizations  765.0   0.0023119601727240864
aha-mont64            ehcleanup            1118.0  0.40304410036183724
aha-mont64            einline              1065.0  0.2630926308967457
aha-mont64            eipa_sra             1087.0  0.318237831195485
aha-mont64            emutls               1122.0  0.4144295367508583
aha-mont64            esra                 1108.0  0.37495732950058125
aha-mont64            fnsplit              1041.0  0.20905542088585255
aha-mont64            forwprop             970.0   0.09176493402774061
aha-mont64            fre                  922.0   0.04631438390217624
aha-mont64            increase_alignment   984.0   0.10984027809875813
aha-mont64            inline               1092.0  0.3314205517703327
aha-mont64            inline_param         821.0   0.3595724810623898
aha-mont64            local-pure-const     1031.0  0.18862370423765934
aha-mont64            mergephi             957.0   0.07704623179391887
aha-mont64            profile              1148.0  0.4897695668702473
aha-mont64            profile_estimate     857.0   0.4780700615272949
aha-mont64            release_ssa          1097.0  0.34481552025061735
aha-mont64            switchconv           1092.0  0.3314205517703327
aha-mont64            tailr                888.0   0.02675201201381931
aha-mont64            tmipa                966.0   0.087029680371498
aha-mont64            whole-program        1143.0  0.47516799528060627
bs                    ccp                  1019.0  0.16579631373847464
bs                    cddce                993.0   0.12273367580602912
bs                    cdtor                1117.0  0.40021013689897966
bs                    copyprop             497.0   8.095942208754644e-07
bs                    copyrename           1033.0  0.19260845857458997
bs                    cp                   1042.0  0.21116790197946728
bs                    devirt               1102.0  0.3584078979360158
bs                    ealias               1110.0  0.3805271349970258
bs                    early_optimizations  1037.0  0.20073083645010553
bs                    ehcleanup            1077.0  0.2925644457912562
bs                    einline              1095.0  0.33943299540119276
bs                    eipa_sra             1091.0  0.32876656677794425
bs                    emutls               1007.0  0.14483575682826494
bs                    esra                 812.0   0.006428059151217498
bs                    fnsplit              1044.0  0.21543019350529502
bs                    forwprop             1080.0  0.30016516899521956
bs                    fre                  446.0   1.1727092652668521e-07
bs                    increase_alignment   681.0   0.0002827433546340046
bs                    inline               1081.0  0.3027184413513543
bs                    inline_param         773.0   0.2219154413967745
bs                    local-pure-const     912.0   0.03963244801454527
bs                    mergephi             949.0   0.06892501906408724
bs                    profile              1069.0  0.27274584573148425
bs                    profile_estimate     398.0   4.096265642329488e-05
bs                    release_ssa          964.0   0.08473161712772143
bs                    switchconv           1048.0  0.22410288193316785
bs                    tailr                1006.0  0.14317337065804236
bs                    tmipa                1009.0  0.14819938408862238
bs                    whole-program        1076.0  0.29005089304431286
bubblesort            ccp                  1125.0  0.4230166142916768
bubblesort            cddce                948.0   0.0679580850237677
bubblesort            cdtor                1071.0  0.2776374972630553
bubblesort            copyprop             945.0   0.06512007627462142
bubblesort            copyrename           924.0   0.04775364591023133
bubblesort            cp                   1081.0  0.3027184413513543
bubblesort            devirt               1078.0  0.29508807338129317
bubblesort            ealias               1134.0  0.4489820865589499
bubblesort            early_optimizations  1114.0  0.39174028256409765
bubblesort            ehcleanup            892.0   0.02861697254847027
bubblesort            einline              687.0   0.00033241805664680705
bubblesort            eipa_sra             983.0   0.10847004240406122
bubblesort            emutls               1147.0  0.48684752751477334
bubblesort            esra                 1106.0  0.36941348160673276
bubblesort            fnsplit              692.0   0.0003798902338209331
bubblesort            forwprop             839.0   0.011014012185156234
bubblesort            fre                  961.0   0.08137027669574703
bubblesort            increase_alignment   480.0   4.3160952056001424e-07
bubblesort            inline               936.0   0.057156077428226044
bubblesort            inline_param         807.0   0.3163041705540133
bubblesort            local-pure-const     1087.0  0.318237831195485
bubblesort            mergephi             850.0   0.013577572631300132
bubblesort            profile              1109.0  0.3777390546879723
bubblesort            profile_estimate     563.0   0.00550161816853261
bubblesort            release_ssa          1044.0  0.21543019350529502
bubblesort            switchconv           996.0   0.1272584999875645
bubblesort            tailr                1127.0  0.4287619870972942
bubblesort            tmipa                948.0   0.0679580850237677
bubblesort            whole-program        1027.0  0.18080806311564457
cnt                   ccp                  1066.0  0.26548947094956177
cnt                   cddce                850.0   0.013577572631300132
cnt                   cdtor                1088.0  0.32085670973964797
cnt                   copyprop             1082.0  0.3052813972353643
cnt                   copyrename           912.0   0.03963244801454527
cnt                   cp                   1098.0  0.3475186914472465
cnt                   devirt               1016.0  0.16038084745933168
cnt                   ealias               1130.0  0.43740805112025094
cnt                   early_optimizations  716.0   0.0007084580891060613
cnt                   ehcleanup            926.0   0.04922850269864781
cnt                   einline              584.0   1.6022127113767967e-05
cnt                   eipa_sra             1002.0  0.13665305891858198
cnt                   emutls               1100.0  0.3529482393150252
cnt                   esra                 1114.0  0.39174028256409765
cnt                   fnsplit              764.0   0.002259522544834395
cnt                   forwprop             924.0   0.04775364591023133
cnt                   fre                  1108.0  0.37495732950058125
cnt                   increase_alignment   578.0   1.3205248791410128e-05
cnt                   inline               922.0   0.04631438390217624
cnt                   inline_param         810.0   0.32539133251451857
cnt                   local-pure-const     878.0   0.022529313650892523
cnt                   mergephi             972.0   0.09420294592322542
cnt                   profile              1146.0  0.48392619410484433
cnt                   profile_estimate     863.0   0.49831223622413545
cnt                   release_ssa          1046.0  0.21974197418650715
cnt                   switchconv           1138.0  0.46059970279355245
cnt                   tailr                1014.0  0.1568354890183083
cnt                   tmipa                732.0   0.0010562571315320616
cnt                   whole-program        968.0   0.08937398043365113
cover                 ccp                  1109.0  0.3777390546879723
cover                 cddce                1024.0  0.17508159668800577
cover                 cdtor                1116.0  0.3973814183244456
cover                 copyprop             880.0   0.023325695952263418
cover                 copyrename           1005.0  0.14152392122197188
cover                 cp                   1143.0  0.47516799528060627
cover                 devirt               1083.0  0.30785393523959576
cover                 ealias               1152.0  0.4985383526044901
cover                 early_optimizations  207.0   2.243182411311818e-12
cover                 ehcleanup            1095.0  0.33943299540119276
cover                 einline              975.0   0.0979490527685331
cover                 eipa_sra             1068.0  0.27031615826777466
cover                 emutls               1144.0  0.47808627156346584
cover                 esra                 1103.0  0.36114870324310233
cover                 fnsplit              972.0   0.09420294592322542
cover                 forwprop             990.0   0.11832291065754158
cover                 fre                  925.0   0.04848659017843916
cover                 increase_alignment   781.0   0.0033149210926037417
cover                 inline               1090.0  0.32612118921998934
cover                 inline_param         837.0   0.4112921746573501
cover                 local-pure-const     812.0   0.006428059151217498
cover                 mergephi             984.0   0.10984027809875813
cover                 profile              1141.0  0.4693355934311513
cover                 profile_estimate     616.0   0.018123244842784703
cover                 release_ssa          1016.0  0.16038084745933168
cover                 switchconv           1065.0  0.2630926308967457
cover                 tailr                1131.0  0.44029693961536276
cover                 tmipa                730.0   0.001005523714032575
cover                 whole-program        1115.0  0.3945580865312019
crc32                 ccp                  1111.0  0.38332143490569737
crc32                 cddce                842.0   0.01166760806340095
crc32                 cdtor                1133.0  0.4460841095264599
crc32                 copyprop             1056.0  0.24202965408876115
crc32                 copyrename           919.0   0.04422101134515728
crc32                 cp                   1128.0  0.4316404242309396
crc32                 devirt               1106.0  0.36941348160673276
crc32                 ealias               1114.0  0.39174028256409765
crc32                 early_optimizations  729.0   0.0009810046048162482
crc32                 ehcleanup            936.0   0.057156077428226044
crc32                 einline              851.0   0.013834323257556595
crc32                 eipa_sra             962.0   0.08247936254478527
crc32                 emutls               1137.0  0.45769174999105755
crc32                 esra                 1095.0  0.33943299540119276
crc32                 fnsplit              765.0   0.0023119601727240864
crc32                 forwprop             854.0   0.014629847993622836
crc32                 fre                  1101.0  0.3556743676032139
crc32                 increase_alignment   490.0   6.259954207516554e-07
crc32                 inline               1035.0  0.1966442440612866
crc32                 inline_param         839.0   0.4178878487475511
crc32                 local-pure-const     969.0   0.09056359995531332
crc32                 mergephi             930.0   0.05228722150602603
crc32                 profile              1140.0  0.4664217795031791
crc32                 profile_estimate     667.0   0.04819332660751161
crc32                 release_ssa          941.0   0.06148018884213971
crc32                 switchconv           967.0   0.08819602448160024
crc32                 tailr                1145.0  0.48100572328563856
crc32                 tmipa                857.0   0.015464422522408854
crc32                 whole-program        1034.0  0.19461998586073342
crc                   ccp                  1012.0  0.1533420954343478
crc                   cddce                1029.0  0.1846901806833231
crc                   cdtor                1151.0  0.4985383526044901
crc                   copyprop             914.0   0.04090211782214368
crc                   copyrename           911.0   0.03900973748017049
crc                   cp                   1092.0  0.3314205517703327
crc                   devirt               1045.0  0.21757991973861335
crc                   ealias               1074.0  0.28505438740573785
crc                   early_optimizations  423.0   4.6942557274088215e-08
crc                   ehcleanup            994.0   0.12422924049068668
crc                   einline              996.0   0.1272584999875645
crc                   eipa_sra             1034.0  0.19461998586073342
crc                   emutls               1079.0  0.2976216801535678
crc                   esra                 1076.0  0.29005089304431286
crc                   fnsplit              931.0   0.05307501366080017
crc                   forwprop             517.0   1.6646627966389543e-06
crc                   fre                  1065.0  0.2630926308967457
crc                   increase_alignment   782.0   0.00338899904409877
crc                   inline               1036.0  0.19868120437462633
crc                   inline_param         807.0   0.3163041705540133
crc                   local-pure-const     802.0   0.005218468591288514
crc                   mergephi             1003.0  0.13826378006942092
crc                   profile              1041.0  0.20905542088585255
crc                   profile_estimate     620.0   0.019684620001570854
crc                   release_ssa          1119.0  0.4058831659932154
crc                   switchconv           1026.0  0.17888632969828766
crc                   tailr                1091.0  0.32876656677794425
crc                   tmipa                840.0   0.011228247763737013
crc                   whole-program        1130.0  0.43740805112025094
ctl-stack             ccp                  1075.0  0.2875475093396942
ctl-stack             cddce                790.0   0.0040372552192200675
ctl-stack             cdtor                1109.0  0.3777390546879723
ctl-stack             copyprop             740.0   0.0012835427734966462
ctl-stack             copyrename           1027.0  0.18080806311564457
ctl-stack             cp                   1080.0  0.30016516899521956
ctl-stack             devirt               1102.0  0.3584078979360158
ctl-stack             ealias               1126.0  0.4258873340610004
ctl-stack             early_optimizations  515.0   1.5503328704211044e-06
ctl-stack             ehcleanup            1006.0  0.14317337065804236
ctl-stack             einline              895.0   0.03008560067580411
ctl-stack             eipa_sra             1090.0  0.32612118921998934
ctl-stack             emutls               1135.0  0.45188278793665715
ctl-stack             esra                 1119.0  0.4058831659932154
ctl-stack             fnsplit              863.0   0.0172567287916576
ctl-stack             forwprop             972.0   0.09420294592322542
ctl-stack             fre                  991.0   0.11978053990285198
ctl-stack             increase_alignment   596.0   2.345633788592984e-05
ctl-stack             inline               1009.0  0.14819938408862238
ctl-stack             inline_param         827.0   0.3787237277222764
ctl-stack             local-pure-const     797.0   0.004693277377189977
ctl-stack             mergephi             942.0   0.06237491322996425
ctl-stack             profile              1100.0  0.3529482393150252
ctl-stack             profile_estimate     647.0   0.0334866096205896
