benchmark             pass                 MDE                  DV                      MEE                  EV                      delta                    delta %
fasta                 cddce                0.5264246015624999   0.00028437208028945946  0.25619940674395836  1.9343245333288235e-05  -0.27022519481854157     -51.33217444938485%
fac                   tailr                0.47037998337975     0.0007249097467886953   0.2820477381748541   0.00024193583500731438  -0.1883322452048959      -40.03832047692607%
recursion             tailr                0.6341609385523332   0.0004316364190062576   0.4492095627591876   0.00014609261406411473  -0.18495137579314563     -29.16473793156574%
aha-mont64            ccp                  0.24717704394797912  0.00025787705933707225  0.18480013237408333  0.0006725201800378358   -0.0623769115738958      -25.23572196575975%
lcdnum                ccp                  0.45453379796397925  0.003616328480382612    0.3778511943726666   0.0013972835415221319   -0.07668260359131263     -16.870605427979537%
lcdnum                copyprop             0.4514337026254375   0.0039831221135797935   0.3809512897112084   0.0014964224172596627   -0.07048241291422913     -15.613015267650415%
ctl-vector            einline              0.12698576491883334  3.456871992089143e-05   0.10764758045949997  2.037285980526648e-05   -0.01933818445933337     -15.228623831729434%
sglib-arrayheapsort   fre                  0.10612486903271669  9.776973298740297e-05   0.09503836200975622  1.1236279511256541e-05  -0.011086507022960462    -10.446662619242113%
aha-mont64            tailr                0.22630674429300002  0.001279745719178801    0.20567043202906246  0.0014200243101414086   -0.020636312263937556    -9.118734984415516%
lcdnum                early_optimizations  0.43564476654687506  0.0027930903774825567   0.3967402257897708   0.004450304658220245    -0.038904540757104256    -8.93033584805343%
sglib-arrayheapsort   early_optimizations  0.10489771140602706  0.0001230536631415565   0.09626551963644582  1.0665151003055914e-05  -0.008632191769581243    -8.229151669638112%
ndes                  einline              0.22564266803497912  8.44935043446491e-05    0.20741775694916673  0.0004890267957898361   -0.018224911085812395    -8.076890441211752%
sglib-arrayheapsort   profile_estimate     0.10672381703197083  6.512312601316947e-05   0.09853421501765831  7.560638788263035e-05   -0.008189602014312514    -7.673640469455087%
cover                 early_optimizations  0.2776750823076875   4.008599270145426e-05   0.2564379200884999   0.00016245036579829779  -0.02123716221918759     -7.648205968893894%
aha-mont64            cddce                0.2244086339295834   0.0012878936373141292   0.20756854239247916  0.0014845242392622629   -0.01684009153710425     -7.504208390836005%
fft                   copyprop             0.4687596464390207   0.0013918600208618832   0.4337425564361043   0.00015059222677688778  -0.03501709000291636     -7.470158805035197%
ndes                  early_optimizations  0.22491059320850001  7.956178679590163e-05   0.20814983177564583  0.0005201155824160575   -0.016760761432854182    -7.4521885313407035%
fft                   ccp                  0.46859318050533333  0.001437107193514178    0.43390902236979173  0.00011719480733366856  -0.0346841581355416      -7.401763315918942%
sglib-hashtable       einline              0.1726247320152083   1.7746180010732654e-05  0.16088813913591668  2.818332879645389e-05   -0.01173659287929163     -6.79890577803048%
levenshtein           early_optimizations  0.4911762947883333   0.0004405500582115615   0.45885168292208317  0.0009768742750506977   -0.03232461186625013     -6.5810610587752505%
bs                    copyprop             0.3976167930143124   0.00013883938491480693  0.3715248019172084   0.0010725281348193223   -0.026091991097104028    -6.562094849994134%
levenshtein           profile_estimate     0.49956864989025     0.000258519855868469    0.4668291018435277   0.000936004445636268    -0.0327395480467223      -6.5535633699021805%
bs                    fre                  0.39743727169972914  0.00016575660144759434  0.37170432323179164  0.0010551125502309617   -0.0257329484679375      -6.474719484130113%
slre                  einline              0.26833114037247924  5.299917632753956e-05   0.25124949368181254  4.818118626884842e-05   -0.017081646690666696    -6.365883090182938%
nettle-des            einline              0.377634529479375    0.0004515474494401381   0.3539832904037916   6.131047372490945e-05   -0.023651239075583363    -6.262996953215611%
st                    fre                  0.35051829251995836  6.407621318510573e-05   0.328593559978125    6.702686562072193e-05   -0.02192473254183336     -6.254946748773453%
fac                   einline              0.38808331282039576  0.011046676520099039    0.36434440873420826  0.0077442536659712525   -0.023738904086187507    -6.116960792172434%
fac                   early_optimizations  0.3877170872371874   0.009367946092251217    0.3647106343174166   0.009440467680847284    -0.02300645291977077     -5.93382486279138%
ndes                  esra                 0.22309986907618753  7.675677065901914e-05   0.20996055590795834  0.0005782133168216639   -0.013139313168229194    -5.8894311424908015%
aha-mont64            fre                  0.2224531286068958   0.000979501185064845    0.20952404771516667  0.0018523690576084855   -0.012929080891729144    -5.812047226621185%
aha-mont64            early_optimizations  0.2223553228387292   0.0017411800102744904   0.2096218534833333   0.0010932535809333448   -0.012733469355395904    -5.7266312282667%
sglib-listinsertsort  fre                  0.21472162070479173  3.8359009156008454e-05  0.20272895045466663  0.0001173404260997377   -0.011992670250125098    -5.585217832634155%
levenshtein           tmipa                0.4877962968780625   0.0005855238568263762   0.46223168083235394  0.0010317290408984642   -0.025564616045708533    -5.2408384830561925%
sglib-listinsertsort  mergephi             0.21418937243922917  4.4136486352149775e-05  0.20326119872022916  0.00012402209387155766  -0.010928173719000012    -5.102108286021803%
bs                    esra                 0.3945890060405417   0.00010700936172655784  0.37455258889097914  0.0012469967897795274   -0.020036417149562558    -5.0777940699908735%
ctl-vector            early_optimizations  0.12037138357447917  0.0001212114893814552   0.11426196180385413  0.00010563154250392711  -0.00610942177062504     -5.0754769025686794%
crc                   early_optimizations  0.2844328480313958   0.00015159438946335296  0.2700872533826459   0.00012992992987967945  -0.014345594648749904    -5.043578738545146%
aha-mont64            mergephi             0.22155973123339587  0.0008764237250581111   0.21041744508866664  0.0019774093731933576   -0.01114228614472923     -5.029021331043095%
ndes                  mergephi             0.2220905359759375   7.259316458363856e-05   0.21096988900820834  0.0006073842904980336   -0.011120646967729159    -5.00725837724757%
