benchmark             pass                 MDE                  DV                      MEE                  EV                      delta                    delta %
fasta                 cddce                0.52721391297575     0.00027206565531233976  0.25612680582675     2.069509299555137e-05   -0.27108710714900003     -51.418807523288756%
fac                   tailr                0.4709859825749999   0.0007209533298938064   0.28187458015556244  0.0002623365896197444   -0.18911140241943747     -40.15223582356261%
recursion             tailr                0.6354238848393752   0.000410317729599111    0.44889825984024995  0.00013787186329788768  -0.18652562499912523     -29.354518998963325%
aha-mont64            ccp                  0.24750184936518754  0.0002616121279577501   0.18491072980675     0.0007136439663778297   -0.06259111955843755     -25.28915227056939%
lcdnum                ccp                  0.4549960855332498   0.00369409478246948     0.37826584353918746  0.0014633945143295811   -0.07673024199406236     -16.863934533444493%
lcdnum                copyprop             0.4514977499369374   0.004146336543782418    0.3817641791355      0.001557690960882399    -0.06973357080143744     -15.444943150032845%
ctl-vector            einline              0.12672722804862502  3.629008050609117e-05   0.107522860732375    1.94377302393289e-05    -0.019204367316250012    -15.15409719912861%
sglib-arrayheapsort   fre                  0.10591827855351875  0.00010526962806931333  0.09505379934556875  1.1752670385382974e-05  -0.01086447920795        -10.257416714396808%
aha-mont64            tailr                0.226592466210375    0.0013385433937556852   0.20582011296156252  0.0014959967475586496   -0.020772353248812464    -9.16727444482943%
lcdnum                early_optimizations  0.43591926849650003  0.002879869204678844    0.3973426605759374   0.004623953616285862    -0.03857660792056261     -8.849484459270315%
sglib-arrayheapsort   early_optimizations  0.10484209589337501  0.000128250084809372    0.09612998200571249  1.1244736348458182e-05  -0.00871211388766252     -8.30974792465308%
ndes                  einline              0.225697108969875    8.150452975416661e-05   0.20724543101956253  0.0005130278604895682   -0.018451677950312467    -8.175416173707086%
sglib-arrayheapsort   profile_estimate     0.1066718054953125   6.866456811115647e-05   0.09842411676762085  7.873180659255737e-05   -0.008247688727691646    -7.731835689285373%
cover                 early_optimizations  0.27800078785062504  3.64047270384698e-05    0.2565427388848125   0.0001661455570916443   -0.02145804896581255     -7.71870077481304%
aha-mont64            cddce                0.22483962194206247  0.0013540929436485138   0.207572957229875    0.0015515687705780078   -0.017266664712187463    -7.679547120318857%
fft                   ccp                  0.46911237631843755  0.0014496244515717685   0.4340014799470624   0.00011533150934774905  -0.035110896371375155    -7.484538490952448%
ndes                  early_optimizations  0.2248331155975625   8.168243725118148e-05   0.20810942439187502  0.0005452673245332781   -0.01672369120568748     -7.438268673740154%
fft                   copyprop             0.4688892794064375   0.001447125615491779    0.4342245768590624   0.00013443484745624362  -0.03466470254737508     -7.392939883645197%
sglib-hashtable       einline              0.17247788422399996  1.856772705367666e-05   0.1608310302880625   2.676948294723544e-05   -0.011646853935937451    -6.752665124771292%
bs                    copyprop             0.397779850814       0.00013313950670414335  0.371257972203625    0.001125998131510928    -0.026521878610375027    -6.6674766346514955%
levenshtein           profile_estimate     0.49954687064412495  0.00027195365169439063  0.46677535689879174  0.0009632141758459165   -0.032771513745333214    -6.560248030995974%
levenshtein           early_optimizations  0.49080102199687503  0.00046672102397343426  0.4591354486733749   0.0010319300436287383   -0.03166557332350012     -6.451814870854474%
bs                    fre                  0.39729365782750004  0.00018218177363611273  0.371744165190125    0.0011039603824435924   -0.02554949263737505     -6.4308835879953365%
slre                  einline              0.2680521626021875   5.794399983287374e-05   0.251037773114625    5.6039528819070934e-05  -0.01701438948756251     -6.3474173542906005%
nettle-des            einline              0.3777108105367501   0.0004654898442164002   0.35424880619431254  5.4714209499371754e-05  -0.02346200434243756     -6.211631673739128%
st                    fre                  0.34991864780956244  7.496432947606192e-05   0.32864866397256254  6.451297525656527e-05   -0.021269983836999906    -6.078551106134747%
fac                   early_optimizations  0.3881431204448125   0.009787897808695245    0.36471744228575     0.009976384178996682    -0.02342567815906249     -6.035319686258161%
ndes                  esra                 0.22316588951418753  7.839642176337774e-05   0.20977665047525001  0.000602105406955152    -0.013389239038937517    -5.999679909902319%
fac                   einline              0.38789495637412497  0.011584539168388985    0.3649656063564375   0.008192013381958062    -0.022929350017687478    -5.911226645487008%
aha-mont64            early_optimizations  0.2226677928261875   0.0018295961481875728   0.20974478634575003  0.00114600349339344     -0.012923006480437482    -5.803716072456453%
aha-mont64            fre                  0.222578215223       0.0010274185201691961   0.20983436394893748  0.0019506335753840863   -0.012743851274062523    -5.725560905093305%
sglib-listinsertsort  fre                  0.21454832873275004  4.19241973774031e-05    0.20289458418256248  0.00011341826170438276  -0.011653744550187556    -5.431757319677808%
levenshtein           tmipa                0.48804312198162497  0.0006118387918053648   0.46189334868862497  0.0010568911507998259   -0.026149773293          -5.358086635218384%
bs                    esra                 0.39467054743899993  0.00011242755361518536  0.37436727557862504  0.0013020099228863778   -0.020303271860374894    -5.144359515074521%
aha-mont64            mergephi             0.22184748448293748  0.0009223569911356471   0.210565094689       0.0020744222648619443   -0.011282389793937475    -5.085651442130827%
ndes                  mergephi             0.22210020549150003  7.278174794204595e-05   0.21084233449793752  0.0006357371809013435   -0.011257870993562513    -5.068825113713531%
dtoa                  early_optimizations  0.18620729092287502  6.542519870627277e-05   0.17691078824193748  0.00011037425637684082  -0.00929650268093754     -4.992555680748316%
crc                   early_optimizations  0.28490890426756255  0.00014651049686517542  0.27069692165675     0.00013405027339788612  -0.014211982610812524    -4.988254981833007%
