benchmark              pass                 MDE                     MEE                     delta                    delta %
2dfir                  ccp                  0.037038625000000006    0.02081025              -0.016228375000000007    -43.81473394328219%
2dfir                  ealias               0.0354105               0.022438375             -0.012972124999999998    -36.63355501899154%
2dfir                  einline              0.035094625000000004    0.022754249999999997    -0.012340375000000008    -35.163148202894334%
2dfir                  copyprop             0.0343875               0.023461375             -0.010926125000000002    -31.773536895674305%
2dfir                  esra                 0.031283625             0.026565250000000002    -0.004718375             -15.0825711534389%
2dfir                  mergephi             0.030812375000000003    0.027036499999999995    -0.0037758750000000084   -12.254410768400708%
2dfir                  fre                  0.029922249999999997    0.027926625             -0.0019956249999999974   -6.669368112357852%
sglib-arraybinsearch   copyrename           0.000423875             0.0004045               -1.937499999999997e-05   -4.5709230315541065%
sglib-arraybinsearch   einline              0.000423375             0.000405                -1.8375e-05              -4.340124003542958%
gdb-arrayidx           copyrename           0.001132875             0.001088125             -4.4750000000000085e-05  -3.950126889550929%
gdb-arrayidx           ealias               0.001132125             0.001088875             -4.32500000000001e-05    -3.820249530749705%
gdb-arrayidx           mergephi             0.0011317500000000002   0.00108925              -4.250000000000022e-05   -3.755246299977929%
2dfir                  cddce                0.029384374999999997    0.0284645               -0.0009198749999999971   -3.1304902690630554%
gdb-arrayidx           ccp                  0.001127875             0.001093125             -3.475000000000006e-05   -3.081015183420154%
gdb-anon               esra                 0.0029536250000000005   0.002866125             -8.750000000000034e-05   -2.9624613821998502%
sglib-arraybinsearch   forwprop             0.00041975              0.000408625             -1.1124999999999959e-05  -2.6503871351995136%
sglib-arraybinsearch   ealias               0.00041924999999999997  0.000409125             -1.0124999999999989e-05  -2.415026833631482%
gdb-arrayidx           einline              0.00112125              0.00109975              -2.1500000000000035e-05  -1.9175027870680075%
gdb-anon               cddce                0.0029368750000000002   0.002882875             -5.400000000000023e-05   -1.8386890827835785%
cubic                  cddce                0.00224375              0.002207375             -3.637499999999995e-05   -1.6211699164345381%
gdb-anon               copyrename           0.002932                0.00288775              -4.425000000000002e-05   -1.509208731241474%
sglib-arraybinsearch   ccp                  0.00041712499999999996  0.00041125000000000005  -5.874999999999912e-06   -1.4084507042253314%
wikisort               early_optimizations  0.001106                0.00109575              -1.025000000000006e-05   -0.9267631103074195%
gdb-advance            cddce                0.007018875             0.0069595               -5.937499999999953e-05   -0.8459332870296099%
gdb-all-types          cddce                0.004105625             0.0040722499999999995   -3.337500000000042e-05   -0.8129091185873141%
bs                     ealias               0.010872875             0.010793                -7.987500000000008e-05   -0.7346263062897356%
cubic                  mergephi             0.002233375             0.00221775              -1.5625000000000014e-05  -0.6996138131751279%
gdb-all-types          esra                 0.004103                0.0040748749999999995   -2.8125000000000372e-05  -0.6854740433828996%
gdb-anon               einline              0.0029195000000000002   0.00290025              -1.925000000000017e-05   -0.6593594793629104%
gdb-all-types          mergephi             0.004101624999999999    0.00407625              -2.5374999999999356e-05  -0.6186572395087157%
st                     cddce                0.048642250000000005    0.048343125             -0.00029912500000000425  -0.6149489384228818%
gdb-async              esra                 0.004097125             0.004073125             -2.3999999999999716e-05  -0.585776611648405%
fasta                  cddce                0.18171337499999998     0.18071387500000002     -0.0009994999999999588   -0.5500420648727474%
gdb-all-types          copyprop             0.004100125             0.00407775              -2.2374999999999826e-05  -0.545715069662506%
gdb-anon               mergephi             0.0029175               0.00290225              -1.5250000000000073e-05  -0.5227077977720677%
cubic                  esra                 0.0022313750000000003   0.00221975              -1.162500000000035e-05   -0.5209792168506122%
gdb-anon               copyprop             0.0029173750000000003   0.002902375             -1.5000000000000256e-05  -0.5141608466515363%
nettle-md5             cddce                0.153443375             0.152660125             -0.0007832499999999853   -0.5104488870894461%
gdb-advance            ccp                  0.007006500000000001    0.006971875             -3.46250000000008e-05    -0.49418397202598724%
gdb-store              ealias               0.2065095               0.20550125000000002     -0.0010082499999999883   -0.48823419745822266%
bs                     mergephi             0.010858875             0.010807                -5.187499999999984e-05   -0.4777198374601405%
gdb-all-types          fre                  0.004098500000000001    0.004079375             -1.9125000000000912e-05  -0.46663413443945123%
gdb-anon               early_optimizations  0.002916625             0.002903125             -1.3500000000000057e-05  -0.4628637551965048%
sglib-listsort         cddce                0.129551625             0.128955125             -0.0005964999999999998   -0.4604342091424942%
ndes                   cddce                0.18083037500000002     0.18002062500000002     -0.000809749999999998    -0.44779534411737953%
sglib-dllist           cddce                0.160973375             0.160267125             -0.0007062499999999916   -0.43873715140779745%
duff                   cddce                0.147856875             0.14720987500000002     -0.0006469999999999809   -0.43758533378984293%
insertsort             cddce                0.1386685               0.138064625             -0.0006038750000000037   -0.43548102128457705%
nettle-arcfour         cddce                0.15254199999999998     0.15188200000000002     -0.0006599999999999662   -0.43266772429885947%
sglib-listinsertsort1  cddce                0.18937125000000002     0.18855862499999998     -0.000812625000000039    -0.4291174082655308%
cnt                    cddce                0.12475299999999999     0.12421875000000002     -0.0005342499999999722   -0.42824621451986905%
fft                    copyprop             0.0020162500000000002   0.002007625             -8.625000000000386e-06   -0.42777433354000666%
expint                 cddce                0.11057825              0.11010862500000002     -0.0004696249999999874   -0.4246992514350584%
gdb-store              cddce                0.20644337499999996     0.205567375             -0.0008759999999999601   -0.42432943173882925%
nbody                  cddce                0.17318062499999998     0.17244974999999998     -0.000730874999999992    -0.4220304667453372%
ludcmp                 cddce                0.185893375             0.185119375             -0.0007739999999999969   -0.41636771617062573%
select                 cddce                0.16648050000000003     0.16579300000000002     -0.0006875000000000075   -0.4129612777472481%
aha-compress           cddce                0.149876375             0.14925975              -0.0006166250000000095   -0.41142241397285567%
fdct                   ealias               0.162900375             0.16223212499999998     -0.0006682500000000091   -0.4102200501380117%
ctl-vector             cddce                0.22059600000000001     0.21969624999999998     -0.0008997500000000325   -0.40787230956138476%
st                     ealias               0.048590875000000006    0.0483945               -0.00019637500000000557  -0.4041396661410307%
crc                    cddce                0.191380125             0.19061637500000003     -0.0007637499999999797   -0.3990748778118834%
ctl-stack              cddce                0.137885625             0.137336                -0.000549624999999998    -0.39860935467348246%
mergesort              ealias               0.05454362499999999     0.054328125000000005    -0.00021549999999998654  -0.3950965855312818%
sqrt                   mergephi             0.0118955               0.011849374999999999    -4.6125000000001026e-05  -0.387751670799891%
fibcall                cddce                0.04763099999999999     0.047447875             -0.00018312499999999232  -0.38446599903422635%
sqrt                   cddce                0.011895249999999998    0.011849625             -4.562499999999706e-05   -0.383556461612804%
aha-mont64             ealias               0.1685785               0.16793275000000002     -0.0006457499999999727   -0.3830559650251798%
recursion              cddce                0.262008                0.26102650000000005     -0.0009814999999999685   -0.37460688223259153%
sglib-listinsertsort   cddce                0.355162125             0.3538338750000001      -0.0013282499999999198   -0.3739841347102875%
minver                 cddce                0.193034625             0.192315375             -0.0007192499999999769   -0.37260154752028396%
sglib-dllist           copyprop             0.16091875              0.16032175              -0.0005969999999999864   -0.3709946789917188%
prime                  cddce                0.097239125             0.096885375             -0.0003537499999999999   -0.3637938946900231%
wikisort               forwprop             0.001102875             0.001098875             -3.99999999999988e-06    -0.3626884279723342%
levenshtein            cddce                0.293957625             0.29289275              -0.0010648750000000207   -0.362254593668057%
lcdnum                 cddce                0.019033625000000002    0.01896475              -6.887500000000296e-05   -0.36185960372762915%
sha                    cddce                0.73272475              0.7301081249999999      -0.00261662500000015     -0.3571088597730798%
duff                   ealias               0.147796125             0.14727062500000002     -0.0005254999999999843   -0.3555573598428134%
sglib-arraysort1       cddce                0.27012562500000004     0.26917775              -0.0009478750000000424   -0.35090154812230134%
dijkstra               mergephi             0.154955375             0.154420625             -0.0005347500000000005   -0.34509935521759116%
sglib-listinsertsort1  ealias               0.189291125             0.18863875000000002     -0.0006523749999999828   -0.34464109186311975%
sglib-queue            cddce                0.182643625             0.182014375             -0.0006292499999999979   -0.3445233853631617%
crc                    ealias               0.19132325              0.19067325000000002     -0.0006499999999999839   -0.33973915872743327%
gdb-async              forwprop             0.004092                0.00407825              -1.3749999999999873e-05  -0.33602150537634096%
lcdnum                 einline              0.019031125             0.018967249999999998    -6.387500000000143e-05   -0.3356343884032154%
bubblesort             cddce                0.160734875             0.160195625             -0.0005392499999999911   -0.3354903532914006%
gdb-advance            forwprop             0.007000875             0.0069775               -2.337499999999996e-05   -0.3338868355741241%
float_matmult          cddce                0.20820550000000002     0.20751187499999998     -0.000693625000000031    -0.33314441741454043%
fasta                  esra                 0.181513625             0.18091362499999997     -0.0006000000000000449   -0.33055369810395496%
strstr                 cddce                0.16512424999999997     0.16458025              -0.0005439999999999612   -0.329448884703465%
